seeAlso,station name,station name english,line name,line name english,line name french
http://linkdata.org/resource/rdf1s3114i#G-01,渋谷駅,Shibuya,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-02,表参道駅,Omotesandō,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-03,外苑前駅,Gaiemmae,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-04,青山一丁目駅,Aoyama-Itchōme,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-05,赤坂見附駅,Akasaka-Mitsuke,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-06,溜池山王駅,Tameike-Sannō,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-07,虎ノ門駅,Toranomon,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-08,新橋駅,Shimbashi,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-09,銀座駅,Ginza,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-10,京橋駅,Kyōbashi,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-11,日本橋駅,Nihombashi,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-12,三越前駅,Mitsukoshimae,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-13,神田駅,Kanda,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-14,末広町駅,Suehirochō,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-15,上野広小路駅,Ueno-Hirokōji,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-16,上野駅,Ueno,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-17,稲荷町駅,Inarichō,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-18,田原町駅,Tawaramachi,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#G-19,浅草駅,Asakusa,銀座線,Ginza Line,Ligne Ginza
http://linkdata.org/resource/rdf1s3114i#M-01,荻窪駅,Ogikubo,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-02,南阿佐ケ谷駅,Minami-Asagaya,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-03,新高円寺駅,Shin-Kōenji,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-04,東高円寺駅,Higashi-Kōenji,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-05,新中野駅,Shin-Nakano,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-06,中野坂上駅,Nakano-Sakaue,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-07,西新宿駅,Nishi-Shinjuku,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-08,新宿駅,Shinjuku,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-09,新宿三丁目駅,Shinjuku-sanchōme,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-10,新宿御苑前駅,Shinjuku-gyoemmae,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-11,四谷三丁目駅,Yotsuya-sanchōme,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-12,四ツ谷駅,Yotsuya,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-13,赤坂見附駅,Akasaka-mitsuke,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-14,国会議事堂前駅,Kokkai-gijidō-mae,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-15,霞ケ関駅,Kasumigaseki,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-16,銀座駅,Ginza,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-17,東京駅,Tokyo,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-18,大手町駅,Ōtemachi,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-19,淡路町駅,Awajichō,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-20,御茶ノ水駅,Ochanomizu,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-21,本郷三丁目駅,Hongō-sanchōme,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-22,後楽園駅,Kōrakuen,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-23,茗荷谷駅,Myōgadani,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-24,新大塚駅,Shin-ōtsuka,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#M-25,池袋駅,Ikebukuro,丸ノ内線,Marunouchi Line,Ligne Marunouchi
http://linkdata.org/resource/rdf1s3114i#m-03,方南町駅,Hōnanchō,丸ノ内線分岐線,Marunouchi Line Branch Line,Ligne Marunouchi Ligne secondaire
http://linkdata.org/resource/rdf1s3114i#m-04,中野富士見町駅,Nakano-fujimichō,丸ノ内線分岐線,Marunouchi Line Branch Line,Ligne Marunouchi Ligne secondaire
http://linkdata.org/resource/rdf1s3114i#m-05,中野新橋駅,Nakano-shimbashi,丸ノ内線分岐線,Marunouchi Line Branch Line,Ligne Marunouchi Ligne secondaire
http://linkdata.org/resource/rdf1s3114i#m-06,中野坂上駅,Nakano-sakaue,丸ノ内線分岐線,Marunouchi Line Branch Line,Ligne Marunouchi Ligne secondaire
http://linkdata.org/resource/rdf1s3114i#H-01,中目黒駅,Naka-Meguro,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-02,恵比寿駅,Ebisu,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-03,広尾駅,Hiroo,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-04,六本木駅,Roppongi,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-05,神谷町駅,Kamiyachō,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-06,霞ケ関駅,Kasumigaseki,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-07,日比谷駅,Hibiya,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-08,銀座駅,Ginza,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-09,東銀座駅,Higashi-ginza,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-10,築地駅,Tsukiji,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-11,八丁堀駅,Hatchōbori,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-12,茅場町駅,Kayabachō,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-13,人形町駅,Ningyōchō,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-14,小伝馬町駅,Kodemmachō,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-15,秋葉原駅,Akihabara,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-16,仲御徒町駅,Naka-Okachimachi,日比谷線,Hibiya Line,Ligne Hibiya
http://linkdata.org/resource/rdf1s3114i#H-17,上野駅,Ueno,日比谷線,Hibiya Line,Ligne Hibiya
